Treat,rep,inv.sp,res.sp,res.div,inv.t0,res.t0,inv.count,res.count
67,a,SR,AA.PC.OD,3,26666.66667,2666666.667,300,386
67,b,SR,AA.PC.OD,3,26666.66667,2666666.667,596,238
67,c,SR,AA.PC.OD,3,26666.66667,2666666.667,304,392
67,d,SR,AA.PC.OD,3,26666.66667,2666666.667,402,286
67,e,SR,AA.PC.OD,3,26666.66667,2666666.667,348,257
67,f,SR,AA.PC.OD,3,26666.66667,2666666.667,398,372
68,a,SR,AA.VG.OD,3,26666.66667,2666666.667,258,478
68,b,SR,AA.VG.OD,3,26666.66667,2666666.667,312,628
68,c,SR,AA.VG.OD,3,26666.66667,2666666.667,8,684
68,d,SR,AA.VG.OD,3,26666.66667,2666666.667,6,384
68,e,SR,AA.VG.OD,3,26666.66667,2666666.667,78,484
68,f,SR,AA.VG.OD,3,26666.66667,2666666.667,8,628
69,a,SR,PC.VG.OD,3,26666.66667,2666666.667,524,226
69,b,SR,PC.VG.OD,3,26666.66667,2666666.667,248,234
69,c,SR,PC.VG.OD,3,26666.66667,2666666.667,174,282
69,d,SR,PC.VG.OD,3,26666.66667,2666666.667,426,256
69,e,SR,PC.VG.OD,3,26666.66667,2666666.667,184,336
69,f,SR,PC.VG.OD,3,26666.66667,2666666.667,276,190
70,a,SR,PC.VG.AA,3,26666.66667,2666666.667,352,253
70,b,SR,PC.VG.AA,3,26666.66667,2666666.667,470,247
70,c,SR,PC.VG.AA,3,26666.66667,2666666.667,463,185
70,d,SR,PC.VG.AA,3,26666.66667,2666666.667,339,245
70,e,SR,PC.VG.AA,3,26666.66667,2666666.667,542,111
70,f,SR,PC.VG.AA,3,26666.66667,2666666.667,374,134
t1,a,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,20,462
t1,b,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,68,484
t1,c,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,106,416
t1,d,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,24,584
t1,e,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,36,592
t1,f,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,28,359
t2,a,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,20,262
t2,b,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,12,488
t2,c,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,28,404
t2,d,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,280,292
t2,e,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,24,488
t2,f,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,9,444
t3,a,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,24,245
t3,b,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,6,558
t3,c,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,2,464
t3,d,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,38,318
t3,e,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,16,562
t3,f,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,6,456
t4,a,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,82,292
t4,b,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,112,452
